Name,UMAP 1,UMAP 2
output/mlm_0_sim_cse_5/model,7.2525682,7.4005957
output/mlm_0_sim_cse_5/model,6.734471,7.4558973
output/mlm_0_sim_cse_5/model,6.216133,10.212099
output/mlm_0_sim_cse_5/model,6.997127,7.1069245
output/mlm_0_sim_cse_5/model,6.6287975,10.517974
output/mlm_0_sim_cse_5/model,6.7127075,10.458409
output/mlm_0_sim_cse_5/model,9.437416,7.7147074
output/mlm_0_sim_cse_5/model,7.569812,6.432166
output/mlm_0_sim_cse_5/model,10.899502,10.866538
output/mlm_0_sim_cse_5/model,7.2293706,8.870195
output/mlm_0_sim_cse_5/model,5.823567,7.693021
output/mlm_0_sim_cse_5/model,7.0196013,7.894171
output/mlm_0_sim_cse_5/model,6.7566385,5.5545545
output/mlm_0_sim_cse_5/model,9.028784,7.556898
output/mlm_0_sim_cse_5/model,3.7803602,12.121052
output/mlm_0_sim_cse_5/model,9.005931,7.0786643
output/mlm_0_sim_cse_5/model,6.230115,7.35308
output/mlm_0_sim_cse_5/model,6.9141183,7.0054193
output/mlm_0_sim_cse_5/model,6.272423,10.336026
output/mlm_0_sim_cse_5/model,8.878633,7.3290844
output/mlm_0_sim_cse_5/model,8.914573,7.225966
output/mlm_0_sim_cse_5/model,9.5132675,7.600693
output/mlm_0_sim_cse_5/model,9.623028,7.2831383
output/mlm_0_sim_cse_5/model,9.370532,6.39056
output/mlm_0_sim_cse_5/model,8.537591,8.443772
output/mlm_0_sim_cse_5/model,7.4924846,8.848346
output/mlm_0_sim_cse_5/model,5.530874,6.802919
output/mlm_0_sim_cse_5/model,6.4671645,9.746993
output/mlm_0_sim_cse_5/model,8.270106,7.169536
output/mlm_0_sim_cse_5/model,6.1574073,9.90686
output/mlm_0_sim_cse_5/model,6.244545,6.16305
output/mlm_0_sim_cse_5/model,8.422926,8.582979
output/mlm_0_sim_cse_5/model,6.1140065,9.736555
output/mlm_0_sim_cse_5/model,6.1814156,9.746946
output/mlm_0_sim_cse_5/model,6.2493796,10.230389
output/mlm_0_sim_cse_5/model,9.200116,8.241313
output/mlm_0_sim_cse_5/model,9.242285,7.5416517
output/mlm_0_sim_cse_5/model,6.555282,6.9683733
output/mlm_0_sim_cse_5/model,5.792854,7.7277775
output/mlm_0_sim_cse_5/model,7.475402,9.79717
output/mlm_0_sim_cse_5/model,6.775384,9.201112
output/mlm_0_sim_cse_5/model,10.334555,1.4368093
output/mlm_0_sim_cse_5/model,7.3476033,9.672233
output/mlm_0_sim_cse_5/model,6.019742,9.661567
output/mlm_0_sim_cse_5/model,5.8280573,7.6572313
output/mlm_0_sim_cse_5/model,9.638039,7.3855844
output/mlm_0_sim_cse_5/model,8.486592,8.222126
output/mlm_0_sim_cse_5/model,7.639375,8.376757
output/mlm_0_sim_cse_5/model,7.5769234,9.57507
output/mlm_0_sim_cse_5/model,7.0652375,7.9839664
output/mlm_0_sim_cse_5/model,8.104206,5.9585304
output/mlm_0_sim_cse_5/model,5.5226774,6.7908673
output/mlm_0_sim_cse_5/model,7.2088876,9.242453
output/mlm_0_sim_cse_5/model,7.608127,9.575589
output/mlm_0_sim_cse_5/model,6.9069285,5.756455
output/mlm_0_sim_cse_5/model,6.0023904,7.663505
output/mlm_0_sim_cse_5/model,7.0000587,9.804778
output/mlm_0_sim_cse_5/model,6.0527625,10.412838
output/mlm_0_sim_cse_5/model,10.536819,11.494446
output/mlm_0_sim_cse_5/model,10.669882,2.9455328
output/mlm_0_sim_cse_5/model,7.2215805,7.1915603
output/mlm_0_sim_cse_5/model,9.17314,8.854795
output/mlm_0_sim_cse_5/model,8.242972,8.402926
output/mlm_0_sim_cse_5/model,6.850443,7.5006638
output/mlm_0_sim_cse_5/model,6.2986484,10.375033
output/mlm_0_sim_cse_5/model,6.7666936,5.560959
output/mlm_0_sim_cse_5/model,9.529044,9.127631
output/mlm_0_sim_cse_5/model,6.9116683,8.066847
output/mlm_0_sim_cse_5/model,9.224086,7.6743646
output/mlm_0_sim_cse_5/model,6.9332147,9.907182
output/mlm_0_sim_cse_5/model,6.9812,9.783737
output/mlm_0_sim_cse_5/model,7.597428,7.7255664
output/mlm_0_sim_cse_5/model,8.560591,7.598866
output/mlm_0_sim_cse_5/model,9.707092,9.136216
output/mlm_0_sim_cse_5/model,7.0857143,9.214209
output/mlm_0_sim_cse_5/model,8.305166,7.5749993
output/mlm_0_sim_cse_5/model,8.535945,6.959746
output/mlm_0_sim_cse_5/model,7.926863,8.611645
output/mlm_0_sim_cse_5/model,6.7615066,6.8067183
output/mlm_0_sim_cse_5/model,9.916959,3.8936145
output/mlm_0_sim_cse_5/model,7.5919895,7.353358
output/mlm_0_sim_cse_5/model,8.608432,10.387784
output/mlm_0_sim_cse_5/model,7.112403,10.17136
